Archivo,Duracion (s)
File_30000.txt - Selection Sort,0.544035
File_7000.txt - Insertion Sort,0.036449
File_6000.txt - Heap Sort,0.001276
File_9000.txt - Selection Sort,0.051515
File_80000.txt - Insertion Sort,4.632243
File_3000.txt - Merge Sort,0.000526
File_10000.txt - Heap Sort,0.002293
File_6000.txt - Counting Sort,0.000141
File_20000.txt - Heap Sort,0.003205
File_9000.txt - Bubble Sort,0.214274
File_2000.txt - Merge Sort,0.000534
File_80000.txt - Counting Sort,0.001418
File_90000.txt - Quick Sort,0.010176
File_6000.txt - Quick Sort,0.000796
File_20000.txt - Merge Sort,0.003918
File_1000.txt - Insertion Sort,0.013757
File_100000.txt - Bubble Sort,33.281818
File_100000.txt - Merge Sort,0.021810
File_500.txt - Insertion Sort,0.000172
File_100.txt - Heap Sort,0.000261
File_4000.txt - Selection Sort,0.009828
File_4000.txt - Merge Sort,0.000721
File_5000.txt - Counting Sort,0.000616
File_70000.txt - Counting Sort,0.001150
File_100.txt - Selection Sort,0.000959
File_30000.txt - Heap Sort,0.005782
File_100.txt - Counting Sort,0.000233
File_7000.txt - Quick Sort,0.000910
File_30000.txt - Merge Sort,0.008000
File_8000.txt - Bubble Sort,0.167815
File_8000.txt - Insertion Sort,0.040889
File_20000.txt - Counting Sort,0.001790
File_500.txt - Bubble Sort,0.000614
File_100000.txt - Counting Sort,0.028649
File_100000.txt - Heap Sort,0.020360
File_1000.txt - Bubble Sort,0.018876
File_3000.txt - Insertion Sort,0.005997
File_50000.txt - Merge Sort,0.011562
File_20000.txt - Quick Sort,0.002331
File_8000.txt - Quick Sort,0.001001
File_5000.txt - Merge Sort,0.000891
File_60000.txt - Bubble Sort,12.566753
File_8000.txt - Counting Sort,0.000193
File_90000.txt - Insertion Sort,6.005115
File_20000.txt - Selection Sort,0.243524
File_8000.txt - Selection Sort,0.041530
File_9000.txt - Quick Sort,0.001247
File_40000.txt - Counting Sort,0.000887
File_80000.txt - Bubble Sort,20.940585
File_90000.txt - Heap Sort,0.015482
File_40000.txt - Merge Sort,0.009815
File_70000.txt - Quick Sort,0.009954
File_40000.txt - Selection Sort,1.148699
File_90000.txt - Counting Sort,0.001601
File_70000.txt - Insertion Sort,3.456557
File_9000.txt - Insertion Sort,0.060012
File_500.txt - Merge Sort,0.000082
File_10000.txt - Quick Sort,0.007242
File_20000.txt - Insertion Sort,0.278501
File_30000.txt - Counting Sort,0.000915
File_90000.txt - Selection Sort,5.036221
File_40000.txt - Insertion Sort,1.170131
File_10000.txt - Insertion Sort,0.097343
File_3000.txt - Selection Sort,0.005412
File_10000.txt - Bubble Sort,0.262361
File_100000.txt - Selection Sort,6.024791
File_7000.txt - Counting Sort,0.000116
File_50000.txt - Insertion Sort,1.729506
File_2000.txt - Bubble Sort,0.010341
File_60000.txt - Selection Sort,2.213675
File_6000.txt - Merge Sort,0.001178
File_4000.txt - Insertion Sort,0.010380
File_80000.txt - Quick Sort,0.011874
File_70000.txt - Selection Sort,2.896782
File_80000.txt - Selection Sort,4.017274
File_30000.txt - Insertion Sort,0.640083
File_8000.txt - Merge Sort,0.001533
File_50000.txt - Counting Sort,0.000919
File_100.txt - Bubble Sort,0.001487
File_20000.txt - Bubble Sort,1.149241
File_1000.txt - Selection Sort,0.020993
File_2000.txt - Counting Sort,0.000390
File_70000.txt - Heap Sort,0.011761
File_70000.txt - Merge Sort,0.016893
File_1000.txt - Quick Sort,0.002045
File_3000.txt - Bubble Sort,0.022848
File_100.txt - Merge Sort,0.000754
File_9000.txt - Counting Sort,0.000151
File_60000.txt - Heap Sort,0.010013
File_50000.txt - Quick Sort,0.006773
File_50000.txt - Selection Sort,1.543029
File_60000.txt - Insertion Sort,2.546878
File_30000.txt - Bubble Sort,2.692401
File_7000.txt - Merge Sort,0.001236
File_100.txt - Insertion Sort,0.000474
File_5000.txt - Bubble Sort,0.061308
File_60000.txt - Merge Sort,0.011917
File_60000.txt - Quick Sort,0.008816
File_80000.txt - Heap Sort,0.022966
File_5000.txt - Insertion Sort,0.023983
File_1000.txt - Counting Sort,0.001442
File_40000.txt - Bubble Sort,4.970537
File_9000.txt - Merge Sort,0.001852
File_500.txt - Heap Sort,0.000077
File_500.txt - Selection Sort,0.000190
File_7000.txt - Selection Sort,0.027135
File_2000.txt - Quick Sort,0.000560
File_30000.txt - Quick Sort,0.004250
File_100000.txt - Quick Sort,0.024428
File_10000.txt - Selection Sort,0.156866
File_100000.txt - Insertion Sort,7.085436
File_2000.txt - Selection Sort,0.002275
File_4000.txt - Bubble Sort,0.038807
File_50000.txt - Bubble Sort,8.215286
File_4000.txt - Counting Sort,0.000254
File_7000.txt - Heap Sort,0.001027
File_10000.txt - Counting Sort,0.007509
File_5000.txt - Heap Sort,0.001126
File_3000.txt - Quick Sort,0.000507
File_5000.txt - Selection Sort,0.016572
File_7000.txt - Bubble Sort,0.127087
File_6000.txt - Insertion Sort,0.027588
File_90000.txt - Merge Sort,0.023953
File_70000.txt - Bubble Sort,15.763479
File_4000.txt - Quick Sort,0.000521
File_40000.txt - Heap Sort,0.006812
File_10000.txt - Merge Sort,0.010437
File_90000.txt - Bubble Sort,28.969533
File_2000.txt - Insertion Sort,0.002524
File_500.txt - Counting Sort,0.000037
File_3000.txt - Counting Sort,0.000379
File_40000.txt - Quick Sort,0.007131
File_60000.txt - Counting Sort,0.000978
File_80000.txt - Merge Sort,0.020349
File_5000.txt - Quick Sort,0.000721
File_2000.txt - Heap Sort,0.000280
File_100.txt - Quick Sort,0.000601
File_1000.txt - Heap Sort,0.000659
